210	-90	0
210	-80	143.5
210	-70	149
210	-60	163.8
210	-50	188.05
210	-40	208.9
210	-30	224.9
210	-20	237.2
210	-10	247.1
210	0	258.85
210	10	270.5
210	20	272.3
210	30	272.65
210	40	267.25
210	50	263.1
210	60	253.5
210	70	178.55
210	80	166.4
210	90	154.85
220	-90	0
220	-80	143.85
220	-70	145.95
220	-60	152.55
220	-50	181.15
220	-40	205.1
220	-30	224
220	-20	243.35
220	-10	253.6
220	0	266.75
220	10	280.35
220	20	282.85
220	30	285.8
220	40	281.85
220	50	280.9
220	60	272.15
220	70	243.3
220	80	166.7
220	90	0
230	-90	0
230	-80	146.55
230	-70	147.65
230	-60	152.3
230	-50	175.8
230	-40	204.6
230	-30	226.55
230	-20	245.6
230	-10	258.8
230	0	272
230	10	285.25
230	20	288.8
230	30	291.8
230	40	287.4
230	50	286.2
230	60	279.55
230	70	266.3
230	80	186.35
230	90	0
240	-90	0
240	-80	148.15
240	-70	147.5
240	-60	152.3
240	-50	170.35
240	-40	203.45
240	-30	228.35
240	-20	248.15
240	-10	262.9
240	0	275.75
240	10	289.4
240	20	293.2
240	30	297
240	40	293.2
240	50	290.6
240	60	284.7
240	70	272.5
240	80	251.7
240	90	0
250	-90	0
250	-80	148.15
250	-70	147.5
250	-60	151.7
250	-50	166.25
250	-40	204.4
250	-30	230.1
250	-20	251.8
250	-10	267.2
250	0	280.35
250	10	292.05
250	20	296.25
250	30	298.9
250	40	295.75
250	50	292.1
250	60	286.8
250	70	275.9
250	80	257.25
250	90	0
260	-90	0
260	-80	149.15
260	-70	147.75
260	-60	152.05
260	-50	167.55
260	-40	207.3
260	-30	235.65
260	-20	256.8
260	-10	271.35
260	0	283.4
260	10	294.05
260	20	298.25
260	30	301.55
260	40	297.85
260	50	292.9
260	60	286.6
260	70	275.75
260	80	260.85
260	90	0
270	-90	0
270	-80	149.6
270	-70	148.1
270	-60	152.45
270	-50	168.9
270	-40	211
270	-30	240.15
270	-20	260.85
270	-10	274.1
270	0	285.95
270	10	295.15
270	20	299.45
270	30	301.8
270	40	297.15
270	50	291.65
270	60	284.7
270	70	274.3
270	80	259.3
270	90	0
280	-90	0
280	-80	148.7
280	-70	148.7
280	-60	152.8
280	-50	173.9
280	-40	215.4
280	-30	245.1
280	-20	264.45
280	-10	276.75
280	0	287.55
280	10	295.6
280	20	298.55
280	30	300.55
280	40	295.9
280	50	289.3
280	60	281.8
280	70	270.4
280	80	256.05
280	90	0
290	-90	0
290	-80	148.6
290	-70	148.75
290	-60	153.1
290	-50	181.65
290	-40	223.6
290	-30	250.2
290	-20	267.75
290	-10	279.3
290	0	289
290	10	294.75
290	20	297.7
290	30	299.15
